,BRITISH_COLUMBIA,CITY_OF_SURREY,CITY_CENTRE,CLOVERDALE,FLEETWOOD,GUILDFORD,NEWTON,SOUTH_SURREY,WHALLEY_EXCLUDING_CITY_CENTRE,WHALLEY_INCLUDING_CITY_CENTRE
    Less than 18 years,427050,56845,1870,7055,7340,7070,17460,6775,9270,11140
      Less than 6 years,131425,18180,770,2735,1915,1840,6030,1880,3020,3785
    18 to 64 years,1362385,147895,8435,17465,18605,18975,41575,19115,23720,32160
    65 years and over,296585,25065,965,2240,2840,2825,6450,6345,3410,4375
  In low income in 2010 based on after-tax low-income measure (LIM-AT),327240,34145,2845,2080,3830,5780,9755,3145,6700,9550
    Less than 18 years,81605,10460,570,590,1210,1830,3345,820,2090,2660
      Less than 6 years,24390,3205,250,135,365,520,1075,200,655,905
    18 to 64 years,211765,21105,2050,1285,2315,3580,5660,2010,4200,6250
    65 years and over,33875,2575,230,200,310,365,750,315,410,640
  Prevalence of low income in 2010 based on after-tax low-income measure %,15.7,14.9,25.3,7.8,13.3,20,14.9,9.8,18.4,20
    Less than 18 years %,19.1,18.4,30.5,8.4,16.5,25.9,19.2,12.1,22.6,23.9
      Less than 6 years %,18.6,17.7,33.1,4.9,19.1,28.5,17.9,10.6,21.7,23.9
    18 to 64 years %,15.5,14.3,24.2,7.4,12.4,18.9,13.6,10.5,17.7,19.4
    65 years and over %,11.4,10.3,23.8,8.9,10.8,12.9,11.6,5,12,14.6
  Females in private households for income status,2159770,233530,10910,27400,29405,29415,66310,35130,34970,45885
    Less than 18 years,396365,52205,2060,6445,6340,6575,16050,6630,8105,10170
      Less than 6 years,125880,16480,935,2410,1820,1650,5455,1755,2455,3390
    18 to 64 years,1427330,153025,7590,18515,19460,19775,43120,21495,23060,30655
    65 years and over,336085,28300,1255,2435,3610,3060,7135,7000,3805,5060
  In low income in 2010 based on after-tax low-income measure (LIM-AT),369615,37555,2980,2820,4255,6165,10460,4255,6620,9600
    Less than 18 years,75650,9890,675,670,1050,1660,3060,845,1930,2605
      Less than 6 years,23330,2950,305,210,275,390,930,150,685,985
    18 to 64 years,239605,23735,1905,1880,2615,3930,6515,2665,4220,6125
    65 years and over,54360,3925,395,275,590,580,880,745,470,865
  Prevalence of low income in 2010 based on after-tax low-income measure %,17.1,16.1,27.3,10.3,14.5,21,15.8,12.1,18.9,20.9
    Less than 18 years %,19.1,18.9,32.8,10.4,16.5,25.3,19.1,12.7,23.8,25.7
      Less than 6 years %,18.5,17.9,32.1,8.9,15.1,23.6,17,8.8,27.6,29.2
    18 to 64 years %,16.8,15.5,25.1,10.2,13.5,19.9,15.1,12.4,18.3,20
    65 years and over %,16.2,13.9,31.3,11.3,16.3,19,12.3,10.6,12.5,17.2
Total number of occupied private dwellings by condition of dwelling,1764630,152845,10115,18890,17785,19660,38475,26830,21095,31215
  Only regular maintenance or minor repairs needed,1636875,146065,9295,18345,17185,18300,37110,25965,19860,29160
  Major repairs needed,127760,6780,820,545,595,1355,1365,865,1235,2055
Total number of occupied private dwellings by period of construction,1764630,152845,10115,18890,17785,19660,38475,26830,21095,31210
  1960 or before,282675,9175,920,800,370,1490,1010,1450,3140,4060
  1961 to 1980,551650,29605,2520,2815,2160,4150,6055,4810,7095,9620
  1981 to 1990,308445,35810,1965,2600,4620,5275,9360,7560,4425,6390
  1991 to 2000,329780,38305,2200,3670,6400,5515,10625,5850,4040,6240
  2001 to 2005,133230,19225,645,3190,2640,1765,6195,3315,1480,2120
  2006 to 2011,158845,20735,1855,5825,1600,1460,5230,3840,920,2775
Total number of occupied private dwellings by number of rooms,1764630,152845,10115,18890,17785,19655,38475,26830,21100,31210
  1 to 4 rooms,548710,40890,6050,3140,3530,6400,11020,4660,6090,12145
  5 rooms,259780,22285,1905,2455,2335,2810,6070,3515,3205,5105
  6 rooms,227365,19720,930,2315,2485,2560,4790,3925,2705,3640
  7 rooms,190060,17400,435,2380,2325,1885,4620,3325,2435,2870
  8 or more rooms,538720,52545,795,8605,7105,6000,11980,11400,6660,7455
Average number of rooms per dwelling     ,6.2,6.5,4.4,7.3,7,6.3,6.3,7.2,6.3,5.7
Total number of occupied private dwellings by number of bedrooms,1764630,152845,10115,18890,17790,19660,38475,26825,21100,31210
  0 to 1 bedroom,313570,18030,4030,1470,1020,2810,3860,2460,2370,6395
  2 bedrooms,472285,38135,3820,3430,3575,5695,10140,6505,4970,8790
  3 bedrooms,499495,45465,1480,6200,6185,5060,10880,9235,6435,7910
  4 or more bedrooms,479280,51225,785,7790,7010,6095,13595,8625,7320,8105
Total number of private households by tenure,1764630,152845,10115,18890,17785,19655,38475,26830,21100,31210
  Owner,1234715,111660,4660,16050,14005,13585,27270,22840,13255,17915
  Renter,524995,41190,5450,2840,3780,6075,11210,3990,7845,13290
  Band housing,4920,0,0,0,0,0,0,0,0,0
Total number of private households by condominium status,1764630,152850,10115,18890,17785,19655,38475,26830,21100,31210
  Part of a condominium development,397105,38865,5420,4520,3425,6450,9230,7600,2220,7640
  Not part of a condominium development,1367530,113985,4695,14375,14360,13205,29245,19230,18880,23570
Total number of private households by number of household maintainers,1764630,152845,10110,18890,17785,19655,38475,26830,21095,31215
  1 household maintainer,1038915,82485,6740,9635,9090,11015,20290,14765,10940,17680
  2 household maintainers,673940,63160,2950,8620,7685,7890,15670,11665,8685,11635
  3 or more household maintainers,51775,7205,420,630,1010,755,2515,400,1475,1900
Total number of private households by age group of primary household maintainers,1764630,152845,10110,18890,17785,19655,38475,26830,21100,31215
  Under 25 years,57815,3430,640,515,300,430,715,205,615,1260
  25 to 34 years,235950,20840,2085,3465,1980,2145,6125,1980,3055,5145
  35 to 44 years,308825,33090,2055,4675,3910,4170,9300,4165,4815,6870
  45 to 54 years,396785,38280,2265,4430,4880,5815,9560,5860,5475,7745
  55 to 64 years,354395,28940,1545,3145,3465,3865,6815,6130,3980,5520
  65 to 74 years,220365,16095,835,1625,1705,1925,3805,4345,1850,2685
  75 years and over,190495,12170,690,1030,1550,1300,2150,4150,1300,1985
Total number of private households by number of persons per room,1764630,152845,10115,18890,17785,19655,38475,26825,21100,31210
  One person or fewer per room,1716850,143395,9515,18575,16830,18470,34430,26645,18930,28445
  More than one person per room,47780,9455,600,310,960,1195,4045,185,2170,2765
Total number of private households by housing suitability,1764635,152850,10110,18885,17790,19655,38475,26830,21095,31210
  Suitable,1645475,136025,8595,18030,15985,17255,32610,26020,17540,26140
  Not suitable,119155,16820,1520,860,1805,2400,5870,810,3555,5075
"Total number of owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio",1717195,152150,10055,18840,17715,19565,38310,26650,21010,31070
  Spending less than 30% of household total income on shelter costs,1197730,106400,5900,13655,12765,13150,26615,20370,13940,19840
  Spending 30% or more of household total income on shelter costs,519470,45755,4155,5190,4955,6410,11695,6275,7070,11225
    Spending 30% to less than 100% of household total income on shelter costs,412815,37175,3375,4175,4160,4960,9905,4935,5655,9035
"Number of owner households in non-farm, non-reserve private dwellings",1202000,111465,4665,16025,14005,13550,27230,22735,13255,17920
  % of owner households with a mortgage,57.3,66.4,72.4,76.5,66.7,68.2,70.8,51.5,66.1,67.7
  % of owner households spending 30% or more of household total income on shelter costs,23.8,27.3,33.3,25.8,27.3,28.1,30.8,20.8,29.9,30.8
  Median monthly shelter costs for owned dwellings ($),1023,1391,1079,1628,1491,1308,1500,967,1406,1266
  Average monthly shelter costs for owned dwellings ($),1228,1422,1101,1586,1410,1364,1499,1359,1361,1294
  Median value of dwellings ($),448835,500746,250403,501202,500681,450427,500320,673392,450547,425791
  Average value of dwellings ($),543635,544819,299216,511786,518764,498806,503927,746715,483465,435525
"Number of tenant households in non-farm, non-reserve private dwellings",519855,41165,5455,2835,3780,6075,11205,3975,7845,13295
  % of tenant households in subsidized housing,13.5,11.3,17.2,8.6,7.8,11.9,11.8,15.8,6.4,10.8
  % of tenant households spending 30% or more of household total income on shelter costs,45.3,37.7,48.2,37.7,30.6,43.2,29.9,39.3,39.9,43.3
  Median monthly shelter costs for rented dwellings ($),903,794,849,889,751,843,651,1001,707,793
  Average monthly shelter costs for rented dwellings ($),989,895,853,1044,898,910,795,1189,849,851
Household total income in 2010 of private households,1764630,152850,10110,18890,17785,19655,38475,26830,21100,31210
"  Under $5,000",60130,4510,515,525,360,710,965,525,905,1420
"  $5,000 to $9,999",36340,2855,355,165,310,470,700,390,465,825
"  $10,000 to $14,999",59965,4145,680,425,425,650,835,430,700,1385
"  $15,000 to $19,999",96595,6175,800,480,655,920,1395,950,985,1785
"  $20,000 to $29,999",157610,11495,1130,840,1115,1885,2785,2040,1710,2835
"  $30,000 to $39,999",167220,12925,1235,1100,1495,1740,3345,2100,1900,3135
"  $40,000 to $49,999",158405,13030,1155,1215,1360,1815,3405,2070,2010,3165
"  $50,000 to $59,999",140340,12185,965,1235,1370,1635,3325,1980,1675,2645
"  $60,000 to $79,999",246720,22380,1470,2775,2775,2750,6130,3315,3165,4630
"  $80,000 to $99,999",193185,18165,885,2865,2195,2165,4820,2650,2595,3475
"  $100,000 to $124,999",167410,16085,570,2610,2065,1775,4020,2960,2080,2650
"  $125,000 to $149,999",106325,10995,180,1905,1605,1210,2585,2170,1335,1520
"  $150,000 and over",174385,17915,180,2765,2055,1930,4165,5250,1565,1745
After-tax income of households in 2010 of private households,1764630,152845,10110,18885,17785,19655,38475,26830,21100,31210
"  Under $5,000",61920,4680,515,535,370,740,1010,590,915,1435
"  $5,000 to $9,999",36850,2930,360,165,310,470,725,430,465,825
"  $10,000 to $14,999",60930,4205,685,425,420,640,820,475,735,1420
"  $15,000 to $19,999",99895,6330,810,485,695,960,1445,940,995,1810
"  $20,000 to $29,999",175200,12530,1245,990,1280,2000,3050,2160,1810,3050
"  $30,000 to $39,999",192775,14800,1465,1265,1510,2050,3780,2460,2285,3745
"  $40,000 to $49,999",181910,15365,1300,1480,1715,2155,4015,2510,2190,3490
"  $50,000 to $59,999",162475,14340,995,1580,1910,1685,4000,2155,2005,2995
"  $60,000 to $79,999",272645,24965,1400,3675,2870,3090,6690,3810,3435,4835
"  $80,000 to $99,999",192785,17955,760,2895,2205,2225,4590,2895,2395,3150
"  $100,000 and over",327250,34745,585,5400,4505,3635,8350,8410,3870,4450
"    $100,000 to $124,999",150380,15815,395,2555,2225,1635,3785,3135,2080,2475
"    $125,000 and over",176870,18930,190,2840,2280,2000,4565,5270,1790,1980
Household income in 2010 of private households,1764630,152845,10115,18890,17785,19655,38470,26825,21100,31210
  Median household total income $,60333,67702,42830,83905,72549,59976,67118,77621,61155,53597
  Average household total income $,77378,82789,50035,93817,83809,73480,81107,105564,70538,63895
  Median after-tax household income $,54379,61023,39705,73376,64845,55089,61210,67866,55146,49470
  Average after-tax household income $,66264,71603,45058,80014,73426,64150,71476,86632,63325,57406
  One-person private households,497210,30050,3980,3430,2750,3855,6245,6335,3455,7440
    Median household total income $,31236,33133,24753,39126,32422,29487,34041,38004,26491,25535
    Average household total income $,40265,39376,30752,44669,38812,37340,40117,46719,31961,31314
    Median after-tax household income $,28847,30501,23465,35397,30148,27682,31333,34433,24446,23998
    Average after-tax household income $,34612,34113,27487,38307,34001,32370,34634,39829,28184,27811
  Two-or-more-persons private households,1267415,122795,6135,15455,15035,15805,32230,20490,17640,23780
    Median household total income $,75770,78862,55475,95120,81941,70292,75642,96628,69373,65782
    Average household total income $,91938,93414,62535,104727,92039,82290,89047,123766,78100,74083
    Median after-tax household income $,67931,70492,52150,83131,73589,62962,68689,84048,63394,60113
    Average after-tax household income $,78681,80778,56449,89271,80637,71898,78612,101110,70213,66661
Family income in 2010 of economic families,1205255,119675,5650,15170,14875,15360,31650,20045,16925,22575
  Median family income $,75797,78283,54935,93653,80800,69408,75390,96838,68569,64842
  Average family income $,91967,92446,61799,102506,90138,81256,87697,123944,77422,73511
  Median after-tax family income $,67915,69935,51493,81895,72343,62807,68193,84290,62703,59284
  Average after-tax family income $,78580,79873,55810,87316,78950,70913,77424,101108,69611,66156
  Average family size,3,3.5,3,3.2,3.6,3.4,3.9,3,3.8,3.6
  Couple-only economic families,474725,32240,1930,4805,3520,3750,6495,8545,3190,5115
    Median family income $,69881,71791,60008,82583,71675,60835,63841,84605,56707,58209
    Average family income $,85632,85765,65362,91822,76705,71621,75415,112627,64689,64943
    Median after-tax family income $,62765,64188,55135,72158,64534,56479,58804,74453,52974,53309
    Average after-tax family income $,72795,72844,57775,78196,66951,62097,65045,92246,56921,57243
    Average family size,2,2,2,2,2,2,2,2,2,2
  Couple-with-children economic families,523700,66525,2225,8065,8845,8640,19635,8965,10155,12380
    Median family income $,94632,91774,61057,110208,95880,81444,85154,121370,82191,77878
    Average family income $,110555,105265,67803,119025,103200,93586,98297,148151,89898,85926
    Median after-tax family income $,83510,82414,56226,94780,85062,73706,77694,104134,75012,71315
    Average after-tax family income $,93921,90964,61937,100883,89938,81273,87006,119633,80928,77514
    Average family size,4,4.4,4,4.1,4.4,4.2,4.7,4,4.6,4.5
  Lone-parent economic families,162760,15650,1130,1780,1855,2370,3815,2175,2525,3655
    Median family income $,42610,43266,37453,49303,43177,41632,44513,54736,35815,37011
    Average family income $,53115,53162,44465,57341,54020,50558,53267,66541,44254,44320
    Median after-tax family income $,40646,41198,36261,44963,41414,39180,41559,50131,35425,35512
    Average after-tax family income $,47588,47817,40894,50844,49006,45927,48289,57476,40658,40731
    Average family size,2.6,2.7,2.6,2.6,2.7,2.8,2.8,2.6,3,2.8
